Fixture Template,Endcap Style,Endcap Color,Power Feed Type,Environment Rating,Endcap Item,Is Default,Is Active
ILL-SE01-FS,Solid,White,,,EC-SE01-WH-NO,0,1
ILL-SE01-FS,Feed Through,White,,,EC-SE01-WH-HO,0,1
ILL-SE01-FS,Solid,Black,,,EC-SE01-BK-NO,0,1
ILL-SE01-FS,Feed Through,Black,,,EC-SE01-BK-HO,0,1
ILL-SE01-FS,Solid,Grey,,,EC-SE01-GR-NO,0,1
ILL-SE01-FS,Feed Through,Grey,,,EC-SE01-GR-HO,0,1
ILL-SE01-SW,Solid,White,,,EC-SE01-WH-NO,0,1
ILL-SE01-SW,Feed Through,White,,,EC-SE01-WH-HO,0,1
ILL-SE01-SW,Solid,Black,,,EC-SE01-BK-NO,0,1
ILL-SE01-SW,Feed Through,Black,,,EC-SE01-BK-HO,0,1
ILL-SE01-SW,Solid,Grey,,,EC-SE01-GR-NO,0,1
ILL-SE01-SW,Feed Through,Grey,,,EC-SE01-GR-HO,0,1
ILL-SE01-TW,Solid,White,,,EC-SE01-WH-NO,0,1
ILL-SE01-TW,Feed Through,White,,,EC-SE01-WH-HO,0,1
ILL-SE01-TW,Solid,Black,,,EC-SE01-BK-NO,0,1
ILL-SE01-TW,Feed Through,Black,,,EC-SE01-BK-HO,0,1
ILL-SE01-TW,Solid,Grey,,,EC-SE01-GR-NO,0,1
ILL-SE01-TW,Feed Through,Grey,,,EC-SE01-GR-HO,0,1
ILL-SE02-FS,Solid,White,,,EC-SE02-WH-NO,0,1
ILL-SE02-FS,Feed Through,White,,,EC-SE02-WH-HO,0,1
ILL-SE02-FS,Solid,Black,,,EC-SE02-BK-NO,0,1
ILL-SE02-FS,Feed Through,Black,,,EC-SE02-BK-HO,0,1
ILL-SE02-FS,Solid,Grey,,,EC-SE02-GR-NO,0,1
ILL-SE02-FS,Feed Through,Grey,,,EC-SE02-GR-HO,0,1
ILL-SE02-SW,Solid,White,,,EC-SE02-WH-NO,0,1
ILL-SE02-SW,Feed Through,White,,,EC-SE02-WH-HO,0,1
ILL-SE02-SW,Solid,Black,,,EC-SE02-BK-NO,0,1
ILL-SE02-SW,Feed Through,Black,,,EC-SE02-BK-HO,0,1
ILL-SE02-SW,Solid,Grey,,,EC-SE02-GR-NO,0,1
ILL-SE02-SW,Feed Through,Grey,,,EC-SE02-GR-HO,0,1
ILL-SE02-TW,Solid,White,,,EC-SE02-WH-NO,0,1
ILL-SE02-TW,Feed Through,White,,,EC-SE02-WH-HO,0,1
ILL-SE02-TW,Solid,Black,,,EC-SE02-BK-NO,0,1
ILL-SE02-TW,Feed Through,Black,,,EC-SE02-BK-HO,0,1
ILL-SE02-TW,Solid,Grey,,,EC-SE02-GR-NO,0,1
ILL-SE02-TW,Feed Through,Grey,,,EC-SE02-GR-HO,0,1
