Tape Neon Template,PDF Field Name,Source DocType,Source Field,Prefix,Suffix,Transformation,Webflow Field,Webflow Prefix/Suffix,Webflow Prefix,Webflow Suffix
non-crb-sw,cctcode,ilL-Configured-Tape-Neon,sku_cct_code,,,,,,,
non-crb-sw,outputcode,ilL-Configured-Tape-Neon,sku_output_code,,,,,,,
non-crb-sw,length,ilL-Configured-Tape-Neon,requested_length_mm,,,MM_TO_INCHES,,,,
non-crb-sw,drywetcode,ilL-Configured-Tape-Neon,environment_rating,,,,,,,
non-crb-sw,wattage,ilL-Configured-Tape-Neon,watts_per_foot,,W,,,,,
non-crb-sw,output,ilL-Configured-Tape-Neon,output_level,,W/ft,,,,,
non-crb-sw,cri,ilL-Rel-Tape Offering,cri,,,,,,,
non-crb-sw,cct,ilL-Rel-Tape Offering,cct,,,,,,,
non-crb-sw,productioninterval,ilL-Spec-LED Tape,cut_increment_mm,,"""""",MM_TO_INCHES,,,,
non-crb-sw,inputvoltage,ilL-Spec-LED Tape,input_voltage,,,,,,,
non-crb-sw,dimming,ilL-Spec-LED Tape,input_protocol,,,,,,,
non-crb-sw,maxfootage100w,ilL-Spec-LED Tape,watts_per_foot,,ft,MAX_FOOTAGE_100W,,,,
non-crb-sw,operatingtemp,ilL-Spec-LED Tape,operating_temp,,,,,,,
non-crb-sw,maxrunlength,ilL-Spec-LED Tape,voltage_drop_max_run_length_ft,,,,,,,
non-crb-sw,warranty,ilL-Tape-Neon-Template,warranty_years,, Years,,,,,
non-crb-sw,minbenddiameter,ilL-Tape-Neon-Template,minimum_side_bend_diameter_mm,,,MM_TO_INCHES,,,,
non-crb-sw,dims,ilL-Tape-Neon-Template,spec_sheet_dimensions,,,,,,,
non-crb-sw,available_mountings,ilL-Tape-Neon-Template,available_mountings,,,,,,,
non-crb-sw,finish,ilL-Configured-Tape-Neon,finish,,,,,,,
non-crb-sw,feedtype,ilL-Configured-Tape-Neon,feed_type,,,,,,,
non-crb-sw,feeddir,ilL-Configured-Tape-Neon,feed_direction,,,,,,,
non-crb-sw,starttype,ilL-Configured-Tape-Neon,start_feed_direction,,,,start_feed_direction,,,
non-crb-sw,startlength,ilL-Configured-Tape-Neon,start_lead_length_inches,,,,start_feed_length_ft,,,
non-crb-sw,endtype,ilL-Configured-Tape-Neon,end_feed_direction,,,,end_feed_direction,,,
non-crb-sw,endlength,ilL-Configured-Tape-Neon,end_cable_length_inches,,,,end_feed_length_ft,,,
non-crb-sw,fixture_type,ilL-Child-Fixture-Schedule-Line,line_id,,,,,,,
non-crb-sw,project_name,ilL-Project,project_name,,,,project_name,,,
non-crb-sw,project_location,ilL-Project,location,,,,project_location,,,
